02.53.51.989259,SB11,login,
02.54.59.514049,SB11,words ,1,
02.54.59.546766,SB11,words ,1,
02.54.59.578602,SB11,words,1,
02.54.59.609478,SB11,words,1,
02.54.59.658504,SB11,words,1,
02.54.59.702235,SB11,words,1,
02.54.59.730764,SB11,words,1,
02.54.59.767838,SB11,words,1,
02.54.59.797117,SB11,words,1,
02.54.59.840658,SB11,words,1,
02.54.59.868390,SB11,words,1,
02.54.59.921373,SB11,words,1,
02.54.59.947019,SB11,words,1,
02.54.59.983682,SB11,words,1,
02.55.00.035444,SB11,words,1,
02.55.00.058495,SB11,words,1,
02.55.00.091631,SB11,words,1,
02.55.00.138689,SB11,words,1,
02.55.00.169024,SB11,words,1,
02.55.00.219870,SB11,words,1,
02.55.00.244936,SB11,words,1,
02.55.00.294247,SB11,words,1,
02.55.00.327537,SB11,words,1,
02.55.00.361518,SB11,words,1,
02.55.00.407855,SB11,words,1,
02.55.00.431380,SB11,words,1,
02.55.00.464268,SB11,words,1,
02.55.00.517707,SB11,words,1,
02.55.00.549607,SB11,words,1,
02.55.00.595475,SB11,words,1,
02.55.00.617646,SB11,words,1,
02.55.00.649707,SB11,words,1,
02.55.00.701578,SB11,words,1,
02.55.00.734319,SB11,words,1,
02.55.00.765250,SB11,words,1,
02.55.00.807233,SB11,words,1,
02.55.00.839433,SB11,words,1,
02.55.00.884628,SB11,words,1,
02.55.00.914731,SB11,words,1,
02.55.00.951139,SB11,words,1,
02.55.00.985229,SB11,words,1,
02.55.01.026532,SB11,words,1,
02.55.01.076057,SB11,words,1,
02.55.01.107046,SB11,words,1,
02.55.01.140270,SB11,words,1,
02.55.01.181805,SB11,words,1,
02.55.01.212646,SB11,words,1,
02.55.01.245646,SB11,words,1,
02.55.01.289577,SB11,words,1,
02.55.01.329242,SB11,words,1,
02.55.01.358553,SB11,words,1,
02.55.01.401970,SB11,words,1,
02.55.01.430371,SB11,words,1,
02.55.01.469099,SB11,words,1,
02.55.01.513662,SB11,words,1,
02.55.01.546412,SB11,words,1,
02.55.01.588709,SB11,words,1,
02.55.01.619139,SB11,words,1,
02.55.01.666578,SB11,words,1,
02.55.01.697296,SB11,words,1,
02.55.01.730666,SB11,words,1,
02.55.01.765576,SB11,words,1,
02.55.01.807112,SB11,words,1,
02.55.01.859448,SB11,words,1,
02.55.01.892399,SB11,words,1,
02.55.01.921323,SB11,words,1,
02.55.01.950558,SB11,words,1,
02.55.01.992999,SB11,words,1,
02.55.02.026425,SB11,words,1,
02.55.02.077760,SB11,words,1,
02.55.02.107262,SB11,words,1,
02.55.02.141862,SB11,words,1,
02.55.02.182291,SB11,words,1,
02.55.02.212387,SB11,words,1,
02.55.02.265697,SB11,words,1,
02.55.02.290798,SB11,words,1,
02.55.02.328866,SB11,words,1,
02.55.02.370977,SB11,words,1,
02.55.02.404065,SB11,words,1,
02.55.02.434150,SB11,words,1,
02.55.02.482350,SB11,words,1,
02.55.02.514433,SB11,words,1,
02.55.02.558550,SB11,words,1,
02.55.02.591654,SB11,words,1,
02.55.02.639767,SB11,words,1,
02.55.02.665836,SB11,words,1,
02.55.02.701931,SB11,words,1,
02.55.02.732016,SB11,words,1,
02.55.02.775131,SB11,words,1,
02.55.02.807235,SB11,words,1,
02.55.02.858358,SB11,words,1,
02.55.02.890444,SB11,words,1,
02.55.02.932556,SB11,words,1,
02.55.02.963638,SB11,words,1,
02.55.02.993753,SB11,words,1,
02.55.03.031854,SB11,words,1,
02.55.03.078946,SB11,words,1,
02.55.03.108038,SB11,words,1,
02.55.03.139145,SB11,words,1,
02.55.03.180214,SB11,words,1,
02.55.03.220321,SB11,words,1,
02.55.03.259431,SB11,words,1,
02.55.03.299532,SB11,words,1,
02.55.03.341644,SB11,words,1,
02.55.03.372735,SB11,words,1,
02.55.03.405815,SB11,words,1,
02.55.03.447927,SB11,words,1,
02.55.03.482018,SB11,words,1,
02.55.03.514142,SB11,words,1,
02.55.03.558601,SB11,words,1,
02.55.03.590582,SB11,words,1,
02.55.03.641761,SB11,words,1,
02.55.03.665821,SB11,words,1,
02.55.03.699296,SB11,words,1,
02.55.03.737723,SB11,words,1,
02.55.03.778689,SB11,words,1,
02.55.03.829129,SB11,words,1,
02.55.03.861258,SB11,words,1,
02.55.03.890172,SB11,words,1,
02.55.03.931558,SB11,words,1,
02.55.03.962887,SB11,words,1,
02.55.03.997046,SB11,words,1,
02.55.04.041046,SB11,words,1,
02.55.04.081320,SB11,words,1,
02.55.04.120466,SB11,words,1,
02.55.04.150345,SB11,words,1,
02.55.04.182629,SB11,words,1,
02.55.04.236825,SB11,words,1,
02.55.04.266945,SB11,words,1,
02.55.04.295981,SB11,words,1,
02.55.04.343110,SB11,words,1,
02.55.04.371217,SB11,words,1,
02.55.04.425338,SB11,words,1,
